GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G28628","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28628",,,,,,,,"86000US28628",,,"ZCTA5 28628",42188,"ZCTA5 28628",24082
"G28629","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28629",,,,,,,,"86000US28629",,,"ZCTA5 28629",,"ZCTA5 28629",
"G28630","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28630",,,,,,,,"86000US28630",,,"ZCTA5 28630",52026,"ZCTA5 28630",3260
"G28631","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28631",,,,,,,,"86000US28631",,,"ZCTA5 28631",33961,"ZCTA5 28631",5922
"G28634","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28634",,,,,,,,"86000US28634",,,"ZCTA5 28634",51271,"ZCTA5 28634",5675
"G28635","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28635",,,,,,,,"86000US28635",,,"ZCTA5 28635",27675,"ZCTA5 28635",5161
"G28636","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28636",,,,,,,,"86000US28636",,,"ZCTA5 28636",45376,"ZCTA5 28636",4673
"G28637","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28637",,,,,,,,"86000US28637",,,"ZCTA5 28637",38523,"ZCTA5 28637",11625
"G28638","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28638",,,,,,,,"86000US28638",,,"ZCTA5 28638",47867,"ZCTA5 28638",7389
"G28640","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28640",,,,,,,,"86000US28640",,,"ZCTA5 28640",39222,"ZCTA5 28640",4579
"G28642","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28642",,,,,,,,"86000US28642",,,"ZCTA5 28642",40522,"ZCTA5 28642",5918
"G28643","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28643",,,,,,,,"86000US28643",,,"ZCTA5 28643",44976,"ZCTA5 28643",7122
"G28644","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28644",,,,,,,,"86000US28644",,,"ZCTA5 28644",35875,"ZCTA5 28644",20204
"G28645","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28645",,,,,,,,"86000US28645",,,"ZCTA5 28645",40621,"ZCTA5 28645",2410
"G28646","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28646",,,,,,,,"86000US28646",,,"ZCTA5 28646",50664,"ZCTA5 28646",8416
"G28647","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28647",,,,,,,,"86000US28647",,,"ZCTA5 28647",,"ZCTA5 28647",
"G28649","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28649",,,,,,,,"86000US28649",,,"ZCTA5 28649",,"ZCTA5 28649",
"G28650","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28650",,,,,,,,"86000US28650",,,"ZCTA5 28650",50504,"ZCTA5 28650",4972
"G28651","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28651",,,,,,,,"86000US28651",,,"ZCTA5 28651",37364,"ZCTA5 28651",2932
"G28652","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28652",,,,,,,,"86000US28652",,,"ZCTA5 28652",,"ZCTA5 28652",
"G28654","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28654",,,,,,,,"86000US28654",,,"ZCTA5 28654",45809,"ZCTA5 28654",3809
"G28655","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28655",,,,,,,,"86000US28655",,,"ZCTA5 28655",43795,"ZCTA5 28655",2105
"G28657","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28657",,,,,,,,"86000US28657",,,"ZCTA5 28657",36920,"ZCTA5 28657",6961
"G28658","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28658",,,,,,,,"86000US28658",,,"ZCTA5 28658",50248,"ZCTA5 28658",4087
"G28659","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28659",,,,,,,,"86000US28659",,,"ZCTA5 28659",38368,"ZCTA5 28659",7201
"G28660","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28660",,,,,,,,"86000US28660",,,"ZCTA5 28660",54688,"ZCTA5 28660",15998
"G28662","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28662",,,,,,,,"86000US28662",,,"ZCTA5 28662",,"ZCTA5 28662",
"G28663","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28663",,,,,,,,"86000US28663",,,"ZCTA5 28663",47813,"ZCTA5 28663",25300
"G28665","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28665",,,,,,,,"86000US28665",,,"ZCTA5 28665",44000,"ZCTA5 28665",20914
"G28666","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28666",,,,,,,,"86000US28666",,,"ZCTA5 28666",,"ZCTA5 28666",
"G28667","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28667",,,,,,,,"86000US28667",,,"ZCTA5 28667",35903,"ZCTA5 28667",8648
"G28668","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28668",,,,,,,,"86000US28668",,,"ZCTA5 28668",125313,"ZCTA5 28668",97040
"G28669","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28669",,,,,,,,"86000US28669",,,"ZCTA5 28669",54955,"ZCTA5 28669",10133
"G28670","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28670",,,,,,,,"86000US28670",,,"ZCTA5 28670",50735,"ZCTA5 28670",7059
"G28671","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28671",,,,,,,,"86000US28671",,,"ZCTA5 28671",43693,"ZCTA5 28671",8817
"G28672","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28672",,,,,,,,"86000US28672",,,"ZCTA5 28672",,"ZCTA5 28672",
"G28673","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28673",,,,,,,,"86000US28673",,,"ZCTA5 28673",81445,"ZCTA5 28673",3859
"G28675","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28675",,,,,,,,"86000US28675",,,"ZCTA5 28675",34714,"ZCTA5 28675",3324
"G28676","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28676",,,,,,,,"86000US28676",,,"ZCTA5 28676",53750,"ZCTA5 28676",12116
"G28677","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28677",,,,,,,,"86000US28677",,,"ZCTA5 28677",45573,"ZCTA5 28677",4208
"G28678","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28678",,,,,,,,"86000US28678",,,"ZCTA5 28678",52981,"ZCTA5 28678",11934
"G28679","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28679",,,,,,,,"86000US28679",,,"ZCTA5 28679",50313,"ZCTA5 28679",13666
"G28681","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28681",,,,,,,,"86000US28681",,,"ZCTA5 28681",49366,"ZCTA5 28681",3136
"G28682","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28682",,,,,,,,"86000US28682",,,"ZCTA5 28682",80904,"ZCTA5 28682",12863
"G28683","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28683",,,,,,,,"86000US28683",,,"ZCTA5 28683",32824,"ZCTA5 28683",10391
